,spanish,english
0,que,what
1,de,of
2,no,do not
3,a,to
4,la,the
5,el,the
6,es,is
7,y,Y
8,en,in
9,lo,it
10,un,a
11,qué,what
12,me,I
13,una,a
14,te,tea
15,los,the
16,se,I know
17,con,with
18,para,for
19,mi,me
20,está,is
21,si,Yes
22,bien,good
23,pero,but
24,yo,me
25,eso,that
26,las,the
27,sí,Yes
28,su,its
29,tu,you
30,aquí,here
31,del,of
32,al,to the
33,como,What
34,más,plus
35,esto,this
36,ya,already
37,esta,is
38,vamos,we go
39,muy,very
40,hay,there are
41,ahora,now
42,estoy,I'm
43,tengo,I have
44,nos,us
45,tú,your
46,nada,nothing
47,cuando,when
48,ha,he has
49,este,this
50,sé,he
51,estás,are
52,así,So
53,puedo,may l
54,cómo,as
55,quiero,want
56,sólo,single
57,soy,am
58,tiene,It has
59,gracias,Thank you
60,o,or
61,él,he
62,fue,it was
63,ser,to be
64,hacer,do
65,son,are
66,todos,everybody
67,era,it was
68,eres,are
69,vez,time
70,tienes,have
71,creo,I think
72,ella,she
73,he,I
74,ese,that
75,voy,I go
76,puede,can
77,sabes,know
78,sus,their
79,porque,because
80,dios,God
81,quién,who
82,nunca,never
83,dónde,where
84,quieres,you want
85,casa,home
86,favor,favor
87,esa,this
88,tan,so
89,señor,Mister
90,tiempo,weather
91,verdad,true
92,estaba,was
93,mejor,better
94,están,is it so
95,va,he
96,hombre,men
97,usted,you
98,mucho,a lot of
99,hace,make
100,entonces,then
101,siento,I feel
102,tenemos,we have
103,puedes,you can
104,ahí,there
105,ti,you
106,vida,lifetime
107,ver,watch
108,alguien,somebody
109,sr,Mr
110,hasta,until
111,sin,without
112,mí,my
113,solo,only
114,años,years
115,sobre,on
116,decir,tell
117,uno,one
118,siempre,forever
119,oh,oh
120,ir,to go
121,cosas,things
122,también,as well
123,antes,before
124,has,you
125,ni,neither
126,mis,my
127,día,day
128,estar,be
129,estamos,we're
130,noche,night
131,nadie,no one
132,otra,other
133,quiere,wants
134,parece,It seems
135,nosotros,We
136,poco,little
137,padre,dad
138,trabajo,job
139,gente,people
140,mira,look
141,vas,you go
142,sea,be
143,les,them
144,donde,where
145,mismo,same
146,hecho,done
147,ellos,they
148,dijo,He said
149,pasa,happens
150,dinero,money
151,hijo,child
152,otro,other
153,hablar,speak
154,seguro,safe
155,claro,Clear
156,estas,these
157,lugar,place
158,mundo,world
159,amigo,friend
160,mierda,shit
161,han,they have
162,tus,your
163,después,then
164,momento,moment
165,desde,since
166,fuera,out of
167,cosa,thing
168,tipo,kind
169,mañana,morning
170,podemos,can
171,dije,said
172,gran,big
173,necesito,needed
174,estado,condition
175,podría,might
176,acuerdo,agreement
177,papá,dad
178,tener,to have
179,dice,He says
180,mío,Own
181,crees,think
182,buena,good
183,gusta,like
184,nuestro,our
185,nuevo,new
186,será,will be
187,haciendo,doing
188,días,days
189,nombre,Name
190,buen,good
191,había,there was
192,ven,come
193,tres,three
194,menos,less
195,debe,has to
196,tenía,I had
197,mal,evil
198,conmigo,with me
199,madre,mother
200,hoy,today
201,quien,who
202,sido,been
203,mamá,mother
204,tienen,have
205,luego,soon
206,todas,all
207,allí,there
208,toda,all
209,hora,time
210,mujer,woman
211,visto,viewed
212,haces,you do
213,importa,matters
214,contigo,with you
215,ve,go
216,tarde,afternoon
217,oye,Hey
218,parte,part
219,haber,to have
220,hombres,mens
221,problema,trouble
222,mas,more
223,saber,to know
224,quería,wanted
225,aún,still
226,veces,times
227,hacerlo,do it
228,cada,every
229,hizo,made
230,veo,I see
231,tanto,so much
232,razón,reason
233,ustedes,your
234,idea,idea
235,esos,those
236,van,go
237,quizá,maybe
238,debo,I must
239,alguna,some
240,cierto,sure
241,ud,You
242,muerto,dead
243,unos,some
244,estos,these
245,salir,leave
246,policía,police
247,realmente,Really
248,demasiado,too
249,familia,family
250,pueden,may
251,cabeza,head
252,hemos,we have
253,amigos,friends
254,chica,girl
255,cariño,Dear
256,lado,side
257,allá,there
258,entre,Come in
259,minutos,minutes
260,digo,say
261,algún,some
262,serio,I laughed
263,cuidado,careful
264,pasó,I pass
265,buenas,good
266,amor,love
267,puerta,door
268,ves,you see
269,vaya,Wow
270,ah,ah
271,suerte,luck
272,eh,Hey
273,rápido,Quick
274,cuenta,bill
275,quizás,maybe
276,esas,those
277,pues,well
278,pasado,last
279,pensé,I thought
280,todavía,yet
281,hermano,brother
282,debes,you should
283,casi,almost
284,forma,form
285,aqui,here
286,chico,guy
287,ok,okay
288,dicho,saying
289,sabía,I knew
290,muchas,many
291,dentro,within
292,hice,I did
293,contra,against
294,auto,car
295,camino,path
296,ayuda,help
297,primera,first
298,hacia,toward
299,vi,saw
300,miedo,afraid
301,adiós,goodbye
302,primero,first
303,debería,should
304,poder,can
305,niños,children
306,sería,would
307,historia,history
308,hey,hey
309,mientras,while
310,ciudad,city
311,dijiste,said
312,espero,wait
313,cuánto,how much
314,esposa,wife
315,pronto,early
316,chicos,Boys
317,cualquier,any
318,debemos,must
319,deja,let
320,año,year
321,muerte,death
322,hablando,talking
323,manos,hands
324,da,gives
325,loco,crazy
326,problemas,problems
327,mano,hand
328,guerra,war
329,semana,week
330,pasar,happen
331,vale,okay
332,cuál,which one
333,viene,comes
334,volver,return
335,toma,taking
336,caso,case
337,agua,Water
338,haré,I will do
339,vete,go away
340,entiendo,I get it
341,horas,hours
342,personas,persons
343,capitán,captain
344,adelante,ahead
345,niño,little boy
346,listo,clever
347,noches,nights
348,buenos,good
349,iba,I was going
350,juntos,together
351,dame,give to me
352,único,unique
353,déjame,let me
354,cerca,close
355,otros,others
356,sigue,follow
357,grande,big
358,arriba,above
359,jefe,boss
360,habla,speaks
361,supongo,suppose
362,manera,way
363,quieren,they want
364,feliz,happy
365,significa,it means
366,sangre,blood
367,fin,finish
368,bajo,low
369,llama,call
370,venir,come
371,morir,To die
372,importante,important
373,hiciste,did
374,ojos,eyes
375,escucha,listens
376,entrar,get in
377,ningún,any
378,corazón,heart
379,diablos,Devils
380,necesitamos,need
381,atrás,behind
382,durante,during
383,dices,say
384,nuestros,our
385,persona,person
386,abajo,down
387,dr,dr
388,hija,daughter
389,dejar,let
390,llegar,arrive
391,hago,I make
392,señora,Lady
393,haya,is
394,doctor,doctor
395,gustaría,would like
396,tierra,land
397,cara,expensive
398,siquiera,at least
399,genial,great
400,cree,cree
401,supuesto,supposed
402,tomar,have
403,equipo,team
404,justo,just
405,juego,game
406,ninguna,none
407,matar,kill
408,cinco,five
409,amo,love
410,cuándo,when
411,pequeño,little
412,algunos,Some
413,conozco,know
