rank,word,meaning
1,que,what
2,de,of
3,no,do not
4,a,to
5,la,the
6,el,the
7,es,is
8,y,Y
9,en,in
10,lo,it
11,un,a
12,por,for
13,qué,what
14,me,I
15,una,a
16,te,tea
17,los,the
18,se,I know
19,con,with
20,para,for
21,mi,me
22,está,is
23,si,Yes
24,bien,good
25,pero,but
26,yo,me
27,eso,that
28,las,the
29,sí,Yes
30,su,its
31,tu,you
32,aquí,here
33,del,of
34,al,to the
35,como,What
36,le,you
37,más,plus
38,esto,this
39,ya,already
40,todo,everything
41,esta,is
42,vamos,we go
43,muy,very
44,hay,there are
45,ahora,now
46,algo,something
47,estoy,I'm
48,tengo,I have
49,nos,us
50,tú,your
51,nada,nothing
52,cuando,when
53,ha,he has
54,este,this
55,sé,he
56,estás,are
57,así,So
58,puedo,may l
59,cómo,as
60,quiero,want
61,sólo,single
62,soy,am
63,tiene,It has
64,gracias,Thank you
65,o,or
66,él,he
67,bueno,Okay
68,fue,it was
69,ser,to be
70,hacer,do
71,son,are
72,todos,everybody
73,era,it was
74,eres,are
75,vez,time
76,tienes,have
77,creo,I think
78,ella,she
79,he,I
80,ese,that
81,voy,I go
82,puede,can
83,sabes,know
84,hola,Hello
85,sus,their
86,porque,because
87,dios,God
88,quién,who
89,nunca,never
90,dónde,where
91,quieres,you want
92,casa,home
93,favor,favor
94,esa,this
95,dos,two
96,tan,so
97,señor,Mister
98,tiempo,weather
99,verdad,true
100,estaba,was
101,mejor,better
102,están,is it so
103,va,he
104,hombre,men
105,usted,you
106,mucho,a lot of
107,hace,make
108,entonces,then
109,siento,I feel
110,tenemos,we have
111,puedes,you can
112,ahí,there
113,ti,you
114,vida,lifetime
115,ver,watch
116,alguien,somebody
117,sr,Mr
118,hasta,until
119,sin,without
120,mí,my
121,solo,only
122,años,years
123,sobre,on
124,decir,tell
125,uno,one
126,siempre,forever
127,oh,oh
128,ir,to go
129,cosas,things
130,también,as well
131,antes,before
132,has,you
133,ni,neither
134,mis,my
135,día,day
136,estar,be
137,estamos,we're
138,noche,night
139,nadie,no one
140,otra,other
141,quiere,wants
142,parece,It seems
143,nosotros,We
144,poco,little
145,padre,dad
146,trabajo,job
147,gente,people
148,mira,look
149,vas,you go
150,sea,be
151,les,them
152,donde,where
153,mismo,same
154,hecho,done
155,ellos,they
156,dijo,He said
157,pasa,happens
158,dinero,money
159,hijo,child
160,tal,such
161,otro,other
162,hablar,speak
163,seguro,safe
164,claro,Clear
165,estas,these
